N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
184,LX인터내셔널,"36,300",600,-1.63%,"5,000","14,070","38,760",25.61,"900,949",8.12,23.72,
185,SK가스,"151,000","1,500",+1.00%,"5,000","13,938","9,230",7.05,"26,392",5.63,14.91,
186,한미반도체,"28,100",900,-3.10%,200,"13,898","49,460",6.00,"207,896",18.73,21.03,
187,솔루엠,"27,700",50,+0.18%,500,"13,852","50,006",8.67,"198,844",34.67,43.26,
188,롯데칠성,"148,000","1,000",-0.67%,500,"13,733","9,279",8.57,"7,776",60.29,-1.00,
189,진원생명과학,"30,350","1,200",-3.80%,"1,000","13,722","45,212",12.77,"484,554",-63.63,-30.43,
190,명신산업,"25,850",400,-1.52%,500,"13,564","52,470",1.81,"143,510",-11.21,-67.39,
191,대한유화,"207,000","4,000",-1.90%,"5,000","13,455","6,500",13.45,"26,521",5.79,6.93,
192,녹십자홀딩스,"28,500",800,-2.73%,500,"13,403","47,028",5.38,"63,545",8.79,19.74,
193,LG생활건강우,"636,000","4,000",-0.62%,"5,000","13,354","2,100",84.24,658,13.35,N/A,
194,롯데렌탈,"36,400",200,-0.55%,"5,000","13,335","36,634",0.91,"118,457",18.58,6.73,
195,신세계인터내셔날,"186,500","3,500",-1.84%,"5,000","13,316","7,140",5.13,"11,426",18.37,8.24,
196,NHN,"67,900",0,0.00%,500,"13,285","19,565",11.99,"25,707",60.62,1.35,
197,롯데리츠,"5,460",10,-0.18%,500,"13,266","242,969",9.98,"169,932",69.11,1.68,
198,종근당,"111,000","3,500",-3.06%,"2,500","12,683","11,426",7.52,"46,692",14.90,17.88,
199,SK네트웍스,"5,080",70,-1.36%,"2,500","12,608","248,188",12.56,"220,384",34.56,1.63,
200,KG동부제철,"12,550",200,-1.57%,"5,000","12,551","100,009",1.43,"112,164",10.26,7.18,
